+-------------------+------+------------+----------+-----------+--------------+---------------+--------------+
| Instance type     | vCPU | CPU type   | RAM (GB) | Disk (GB) | Price ($/hr) | Price ($/day) | Price ($/mo) |
+-------------------+------+------------+----------+-----------+--------------+---------------+--------------+
| t2.nano           | 1    | i386       | 0.5      | None      |  0.0073      | 0.18          | 5.33         |
| t3.nano           | 2    | x86_64     | 0.5      | None      |  0.0066      | 0.16          | 4.82         |
| t3a.nano          | 2    | x86_64     | 0.5      | None      |  0.0059      | 0.14          | 4.31         |
| t4g.nano          | 2    | arm64      | 0.5      | None      |  0.0053      | 0.13          | 3.87         |
| t1.micro          | 1    | i386       | 0.6      | None      |  0.02        | 0.48          | 14.61        |
| t2.micro          | 1    | i386       | 1.0      | None      |  0.0146      | 0.35          | 10.67        |
| t3.micro          | 2    | x86_64     | 1.0      | None      |  0.0132      | 0.32          | 9.64         |
| t3a.micro         | 2    | x86_64     | 1.0      | None      |  0.0118      | 0.28          | 8.62         |
| t4g.micro         | 2    | arm64      | 1.0      | None      |  0.0106      | 0.25          | 7.74         |
| m1.small          | 1    | i386       | 1.7      | 160       |  0.058       | 1.39          | 42.37        |
| c1.medium         | 2    | i386       | 1.7      | 350       |  0.164       | 3.94          | 119.81       |
| a1.medium         | 1    | arm64      | 2.0      | None      |  0.0294      | 0.71          | 21.48        |
| c6g.medium        | 1    | arm64      | 2.0      | None      |  0.0392      | 0.94          | 28.64        |
| c6gd.medium       | 1    | arm64      | 2.0      | 59        |  0.045       | 1.08          | 32.88        |
| c6gn.medium       | 1    | arm64      | 2.0      | None      |  0.0495      | 1.19          | 36.16        |
| c7g.medium        | 1    | arm64      | 2.0      | None      |  0.0417      | 1             | 30.46        |
| c7gd.medium       | 1    | arm64      | 2.0      | 59        |  0.0529      | 1.27          | 38.65        |
| t2.small          | 1    | i386       | 2.0      | None      |  0.0292      | 0.7           | 21.33        |
| t3.small          | 2    | x86_64     | 2.0      | None      |  0.0264      | 0.63          | 19.29        |
| t3a.small         | 2    | x86_64     | 2.0      | None      |  0.0236      | 0.57          | 17.24        |
| t4g.small         | 2    | arm64      | 2.0      | None      |  0.0212      | 0.51          | 15.49        |
