+---------------------+------+------------+----------+-----------+--------------+---------------+--------------+
| Instance type       | vCPU | CPU type   | RAM (GB) | Disk (GB) | Price ($/hr) | Price ($/day) | Price ($/mo) |
+---------------------+------+------------+----------+-----------+--------------+---------------+--------------+
| t2.nano             | 1    | i386       | 0.5      | None      |  0.0072      | 0.17          | 5.26         |
| t3.nano             | 2    | x86_64     | 0.5      | None      |  0.0065      | 0.16          | 4.75         |
| t3a.nano            | 2    | x86_64     | 0.5      | None      |  0.0059      | 0.14          | 4.31         |
| t4g.nano            | 2    | arm64      | 0.5      | None      |  0.0052      | 0.12          | 3.8          |
| t1.micro            | 1    | i386       | 0.6      | None      | N/A          | N/A           | N/A          |
| t2.micro            | 1    | i386       | 1.0      | None      |  0.0144      | 0.35          | 10.52        |
| t3.micro            | 2    | x86_64     | 1.0      | None      |  0.013       | 0.31          | 9.5          |
| t3a.micro           | 2    | x86_64     | 1.0      | None      |  0.0117      | 0.28          | 8.55         |
| t4g.micro           | 2    | arm64      | 1.0      | None      |  0.0104      | 0.25          | 7.6          |
| m1.small            | 1    | i386       | 1.7      | 160       | N/A          | N/A           | N/A          |
| c1.medium           | 2    | i386       | 1.7      | 350       | N/A          | N/A           | N/A          |
| a1.medium           | 1    | arm64      | 2.0      | None      | N/A          | N/A           | N/A          |
| c6g.medium          | 1    | arm64      | 2.0      | None      |  0.0385      | 0.92          | 28.13        |
| c6gd.medium         | 1    | arm64      | 2.0      | 59        |  0.044       | 1.06          | 32.14        |
| c6gn.medium         | 1    | arm64      | 2.0      | None      |  0.04875     | 1.17          | 35.61        |
| c7a.medium          | 1    | x86_64     | 2.0      | None      | N/A          | N/A           | N/A          |
| c7g.medium          | 1    | arm64      | 2.0      | None      |  0.0408      | 0.98          | 29.81        |
| c7gd.medium         | 1    | arm64      | 2.0      | 59        | N/A          | N/A           | N/A          |
| c7gn.medium         | 1    | arm64      | 2.0      | None      | N/A          | N/A           | N/A          |
| c8g.medium          | 1    | arm64      | 2.0      | None      | N/A          | N/A           | N/A          |
| t2.small            | 1    | i386       | 2.0      | None      |  0.0288      | 0.69          | 21.04        |
| t3.small            | 2    | x86_64     | 2.0      | None      |  0.026       | 0.62          | 18.99        |
| t3a.small           | 2    | x86_64     | 2.0      | None      |  0.0234      | 0.56          | 17.1         |
| t4g.small           | 2    | arm64      | 2.0      | None      |  0.0208      | 0.5           | 15.2         |
| m1.medium           | 1    | i386       | 3.7      | 410       | N/A          | N/A           | N/A          |
| m3.medium           | 1    | x86_64     | 3.8      | 4         |  0.091       | 2.18          | 66.48        |
| c3.large            | 2    | i386       | 3.8      | 32        |  0.115       | 2.76          | 84.01        |
| c4.large            | 2    | x86_64     | 3.8      | None      |  0.114       | 2.74          | 83.28        |
| m6g.medium          | 1    | arm64      | 4.0      | None      |  0.047       | 1.13          | 34.34        |
| m6gd.medium         | 1    | arm64      | 4.0      | 59        |  0.0556      | 1.33          | 40.62        |
| m7a.medium          | 1    | x86_64     | 4.0      | None      | N/A          | N/A           | N/A          |
| m7g.medium          | 1    | arm64      | 4.0      | None      |  0.0502      | 1.2           | 36.67        |
| m7gd.medium         | 1    | arm64      | 4.0      | 59        | N/A          | N/A           | N/A          |
| m8g.medium          | 1    | arm64      | 4.0      | None      | N/A          | N/A           | N/A          |
| a1.large            | 2    | arm64      | 4.0      | None      | N/A          | N/A           | N/A          |
| c5.large            | 2    | x86_64     | 4.0      | None      |  0.096       | 2.3           | 70.13        |
| c5a.large           | 2    | x86_64     | 4.0      | None      |  0.086       | 2.06          | 62.83        |
| c5ad.large          | 2    | x86_64     | 4.0      | 75        | N/A          | N/A           | N/A          |
| c5d.large           | 2    | x86_64     | 4.0      | 50        |  0.11        | 2.64          | 80.36        |
| c6a.large           | 2    | x86_64     | 4.0      | None      | N/A          | N/A           | N/A          |
| c6g.large           | 2    | arm64      | 4.0      | None      |  0.077       | 1.85          | 56.25        |
| c6gd.large          | 2    | arm64      | 4.0      | 118       |  0.088       | 2.11          | 64.29        |
| c6gn.large          | 2    | arm64      | 4.0      | None      |  0.0975      | 2.34          | 71.23        |
| c6i.large           | 2    | x86_64     | 4.0      | None      |  0.096       | 2.3           | 70.13        |
| c6id.large          | 2    | x86_64     | 4.0      | 118       |  0.1155      | 2.77          | 84.38        |
| c6in.large          | 2    | x86_64     | 4.0      | None      |  0.1281      | 3.07          | 93.58        |
| c7a.large           | 2    | x86_64     | 4.0      | None      | N/A          | N/A           | N/A          |
| c7g.large           | 2    | arm64      | 4.0      | None      |  0.0816      | 1.96          | 59.61        |
| c7gd.large          | 2    | arm64      | 4.0      | 118       | N/A          | N/A           | N/A          |
| c7gn.large          | 2    | arm64      | 4.0      | None      | N/A          | N/A           | N/A          |
| c7i-flex.large      | 2    | x86_64     | 4.0      | None      |  0.09576     | 2.3           | 69.96        |
| c7i.large           | 2    | x86_64     | 4.0      | None      |  0.1008      | 2.42          | 73.64        |
| c8g.large           | 2    | arm64      | 4.0      | None      | N/A          | N/A           | N/A          |
| t2.medium           | 2    | i386       | 4.0      | None      |  0.0576      | 1.38          | 42.08        |
| t3.medium           | 2    | x86_64     | 4.0      | None      |  0.052       | 1.25          | 37.99        |
| t3a.medium          | 2    | x86_64     | 4.0      | None      |  0.0468      | 1.12          | 34.19        |
| t4g.medium          | 2    | arm64      | 4.0      | None      |  0.0416      | 1             | 30.39        |
| c5n.large           | 2    | x86_64     | 5.2      | None      |  0.122       | 2.93          | 89.13        |
| is4gen.medium       | 1    | arm64      | 6.0      | 937       | N/A          | N/A           | N/A          |
| c1.xlarge           | 8    | x86_64     | 7.0      | 1680      | N/A          | N/A           | N/A          |
| m1.large            | 2    | x86_64     | 7.5      | 840       | N/A          | N/A           | N/A          |
| m3.large            | 2    | x86_64     | 7.5      | 32        |  0.183       | 4.39          | 133.69       |
| c3.xlarge           | 4    | x86_64     | 7.5      | 80        |  0.23        | 5.52          | 168.03       |
| c4.xlarge           | 4    | x86_64     | 7.5      | None      |  0.227       | 5.45          | 165.84       |
| r6g.medium          | 1    | arm64      | 8.0      | None      |  0.061       | 1.46          | 44.56        |
| r6gd.medium         | 1    | arm64      | 8.0      | 59        |  0.0692      | 1.66          | 50.55        |
| r7a.medium          | 1    | x86_64     | 8.0      | None      | N/A          | N/A           | N/A          |
| r7g.medium          | 1    | arm64      | 8.0      | None      |  0.0646      | 1.55          | 47.19        |
| r7gd.medium         | 1    | arm64      | 8.0      | 59        | N/A          | N/A           | N/A          |
| r8g.medium          | 1    | arm64      | 8.0      | None      | N/A          | N/A           | N/A          |
| im4gn.large         | 2    | arm64      | 8.0      | 937       | N/A          | N/A           | N/A          |
| m4.large            | 2    | x86_64     | 8.0      | None      |  0.123       | 2.95          | 89.86        |
| m5.large            | 2    | x86_64     | 8.0      | None      |  0.118       | 2.83          | 86.21        |
| m5a.large           | 2    | x86_64     | 8.0      | None      |  0.106       | 2.54          | 77.44        |
| m5ad.large          | 2    | x86_64     | 8.0      | 75        |  0.127       | 3.05          | 92.78        |
| m5d.large           | 2    | x86_64     | 8.0      | 75        |  0.139       | 3.34          | 101.55       |
| m5dn.large          | 2    | x86_64     | 8.0      | 75        | N/A          | N/A           | N/A          |
| m5n.large           | 2    | x86_64     | 8.0      | None      | N/A          | N/A           | N/A          |
| m5zn.large          | 2    | x86_64     | 8.0      | None      |  0.203       | 4.87          | 148.3        |
| m6a.large           | 2    | x86_64     | 8.0      | None      | N/A          | N/A           | N/A          |
| m6g.large           | 2    | arm64      | 8.0      | None      |  0.094       | 2.26          | 68.67        |
| m6gd.large          | 2    | arm64      | 8.0      | 118       |  0.1112      | 2.67          | 81.24        |
| m6i.large           | 2    | x86_64     | 8.0      | None      |  0.118       | 2.83          | 86.21        |
| m6id.large          | 2    | x86_64     | 8.0      | 118       |  0.14595     | 3.5           | 106.63       |
| m6idn.large         | 2    | x86_64     | 8.0      | 118       | N/A          | N/A           | N/A          |
| m6in.large          | 2    | x86_64     | 8.0      | None      | N/A          | N/A           | N/A          |
| m7a.large           | 2    | x86_64     | 8.0      | None      | N/A          | N/A           | N/A          |
| m7g.large           | 2    | arm64      | 8.0      | None      |  0.1003      | 2.41          | 73.28        |
| m7gd.large          | 2    | arm64      | 8.0      | 118       | N/A          | N/A           | N/A          |
| m7i-flex.large      | 2    | x86_64     | 8.0      | None      |  0.11771     | 2.83          | 85.99        |
| m7i.large           | 2    | x86_64     | 8.0      | None      |  0.1239      | 2.97          | 90.52        |
| m8g.large           | 2    | arm64      | 8.0      | None      | N/A          | N/A           | N/A          |
| t2.large            | 2    | x86_64     | 8.0      | None      |  0.1152      | 2.76          | 84.16        |
| t3.large            | 2    | x86_64     | 8.0      | None      |  0.104       | 2.5           | 75.98        |
| t3a.large           | 2    | x86_64     | 8.0      | None      |  0.0936      | 2.25          | 68.38        |
| t4g.large           | 2    | arm64      | 8.0      | None      |  0.0832      | 2             | 60.78        |
| a1.xlarge           | 4    | arm64      | 8.0      | None      | N/A          | N/A           | N/A          |
| c5.xlarge           | 4    | x86_64     | 8.0      | None      |  0.192       | 4.61          | 140.27       |
| c5a.xlarge          | 4    | x86_64     | 8.0      | None      |  0.172       | 4.13          | 125.66       |
| c5ad.xlarge         | 4    | x86_64     | 8.0      | 150       | N/A          | N/A           | N/A          |
| c5d.xlarge          | 4    | x86_64     | 8.0      | 100       |  0.22        | 5.28          | 160.72       |
| c6a.xlarge          | 4    | x86_64     | 8.0      | None      | N/A          | N/A           | N/A          |
| c6g.xlarge          | 4    | arm64      | 8.0      | None      |  0.154       | 3.7           | 112.51       |
| c6gd.xlarge         | 4    | arm64      | 8.0      | 237       |  0.176       | 4.22          | 128.58       |
| c6gn.xlarge         | 4    | arm64      | 8.0      | None      |  0.195       | 4.68          | 142.46       |
| c6i.xlarge          | 4    | x86_64     | 8.0      | None      |  0.192       | 4.61          | 140.27       |
| c6id.xlarge         | 4    | x86_64     | 8.0      | 237       |  0.231       | 5.54          | 168.76       |
| c6in.xlarge         | 4    | x86_64     | 8.0      | None      |  0.2562      | 6.15          | 187.17       |
| c7a.xlarge          | 4    | x86_64     | 8.0      | None      | N/A          | N/A           | N/A          |
| c7g.xlarge          | 4    | arm64      | 8.0      | None      |  0.1632      | 3.92          | 119.23       |
| c7gd.xlarge         | 4    | arm64      | 8.0      | 237       | N/A          | N/A           | N/A          |
| c7gn.xlarge         | 4    | arm64      | 8.0      | None      | N/A          | N/A           | N/A          |
| c7i-flex.xlarge     | 4    | x86_64     | 8.0      | None      |  0.19152     | 4.6           | 139.92       |
| c7i.xlarge          | 4    | x86_64     | 8.0      | None      |  0.2016      | 4.84          | 147.28       |
| c8g.xlarge          | 4    | arm64      | 8.0      | None      | N/A          | N/A           | N/A          |
| g5g.xlarge          | 4    | arm64      | 8.0      | None      |  0.5166      | 12.4          | 377.41       |
| inf1.xlarge         | 4    | x86_64     | 8.0      | None      |  0.281       | 6.74          | 205.29       |
| c5n.xlarge          | 4    | x86_64     | 10.5     | None      |  0.244       | 5.86          | 178.26       |
| is4gen.large        | 2    | arm64      | 12.0     | 1875      | N/A          | N/A           | N/A          |
| r3.large            | 2    | x86_64     | 15.0     | 32        |  0.2         | 4.8           | 146.11       |
| m1.xlarge           | 4    | x86_64     | 15.0     | 1680      | N/A          | N/A           | N/A          |
| m3.xlarge           | 4    | x86_64     | 15.0     | 80        |  0.366       | 8.78          | 267.38       |
