+---------------------+------+------------+----------+-----------+--------------+---------------+--------------+
| Instance type       | vCPU | CPU type   | RAM (GB) | Disk (GB) | Price ($/hr) | Price ($/day) | Price ($/mo) |
+---------------------+------+------------+----------+-----------+--------------+---------------+--------------+
| t2.nano             | 1    | i386       | 0.5      | None      |  0.0062      | 0.15          | 4.53         |
| t3.nano             | 2    | x86_64     | 0.5      | None      |  0.0056      | 0.13          | 4.09         |
| t3a.nano            | 2    | x86_64     | 0.5      | None      |  0.0031      | 0.07          | 2.26         |
| t4g.nano            | 2    | arm64      | 0.5      | None      |  0.0028      | 0.07          | 2.05         |
| t1.micro            | 1    | i386       | 0.6      | None      | N/A          | N/A           | N/A          |
| t2.micro            | 1    | i386       | 1.0      | None      |  0.0124      | 0.3           | 9.06         |
| t3.micro            | 2    | x86_64     | 1.0      | None      |  0.0112      | 0.27          | 8.18         |
| t3a.micro           | 2    | x86_64     | 1.0      | None      |  0.0062      | 0.15          | 4.53         |
| t4g.micro           | 2    | arm64      | 1.0      | None      |  0.0056      | 0.13          | 4.09         |
| m1.small            | 1    | i386       | 1.7      | 160       | N/A          | N/A           | N/A          |
| c1.medium           | 2    | i386       | 1.7      | 350       | N/A          | N/A           | N/A          |
| a1.medium           | 1    | arm64      | 2.0      | None      |  0.0255      | 0.61          | 18.63        |
| c6g.medium          | 1    | arm64      | 2.0      | None      |  0.0213      | 0.51          | 15.56        |
| c6gd.medium         | 1    | arm64      | 2.0      | 59        |  0.0245      | 0.59          | 17.9         |
| c6gn.medium         | 1    | arm64      | 2.0      | None      |  0.04325     | 1.04          | 31.6         |
| c7a.medium          | 1    | x86_64     | 2.0      | None      | N/A          | N/A           | N/A          |
| c7g.medium          | 1    | arm64      | 2.0      | None      |  0.0245      | 0.59          | 17.9         |
| c7gd.medium         | 1    | arm64      | 2.0      | 59        |  0.0288      | 0.69          | 21.04        |
| c7gn.medium         | 1    | arm64      | 2.0      | None      | N/A          | N/A           | N/A          |
| c8g.medium          | 1    | arm64      | 2.0      | None      | N/A          | N/A           | N/A          |
| t2.small            | 1    | i386       | 2.0      | None      |  0.0248      | 0.6           | 18.12        |
| t3.small            | 2    | x86_64     | 2.0      | None      |  0.0224      | 0.54          | 16.36        |
| t3a.small           | 2    | x86_64     | 2.0      | None      |  0.0123      | 0.3           | 8.99         |
| t4g.small           | 2    | arm64      | 2.0      | None      |  0.0112      | 0.27          | 8.18         |
| m1.medium           | 1    | i386       | 3.7      | 410       | N/A          | N/A           | N/A          |
| m3.medium           | 1    | x86_64     | 3.8      | 4         | N/A          | N/A           | N/A          |
| c3.large            | 2    | i386       | 3.8      | 32        | N/A          | N/A           | N/A          |
| c4.large            | 2    | x86_64     | 3.8      | None      |  0.1         | 2.4           | 73.06        |
| m6g.medium          | 1    | arm64      | 4.0      | None      |  0.0253      | 0.61          | 18.48        |
| m6gd.medium         | 1    | arm64      | 4.0      | 59        |  0.0302      | 0.72          | 22.06        |
| m7a.medium          | 1    | x86_64     | 4.0      | None      | N/A          | N/A           | N/A          |
| m7g.medium          | 1    | arm64      | 4.0      | None      |  0.0292      | 0.7           | 21.33        |
| m7gd.medium         | 1    | arm64      | 4.0      | 59        |  0.0355      | 0.85          | 25.93        |
| m8g.medium          | 1    | arm64      | 4.0      | None      | N/A          | N/A           | N/A          |
| a1.large            | 2    | arm64      | 4.0      | None      |  0.051       | 1.22          | 37.26        |
| c5.large            | 2    | x86_64     | 4.0      | None      |  0.085       | 2.04          | 62.1         |
| c5a.large           | 2    | x86_64     | 4.0      | None      |  0.047       | 1.13          | 34.34        |
| c5ad.large          | 2    | x86_64     | 4.0      | 75        | N/A          | N/A           | N/A          |
| c5d.large           | 2    | x86_64     | 4.0      | 50        |  0.099       | 2.38          | 72.33        |
| c6a.large           | 2    | x86_64     | 4.0      | None      |  0.04675     | 1.12          | 34.15        |
| c6g.large           | 2    | arm64      | 4.0      | None      |  0.0426      | 1.02          | 31.12        |
| c6gd.large          | 2    | arm64      | 4.0      | 118       |  0.049       | 1.18          | 35.8         |
| c6gn.large          | 2    | arm64      | 4.0      | None      |  0.0865      | 2.08          | 63.19        |
| c6i.large           | 2    | x86_64     | 4.0      | None      |  0.085       | 2.04          | 62.1         |
| c6id.large          | 2    | x86_64     | 4.0      | 118       | N/A          | N/A           | N/A          |
| c6in.large          | 2    | x86_64     | 4.0      | None      |  0.1134      | 2.72          | 82.85        |
| c7a.large           | 2    | x86_64     | 4.0      | None      | N/A          | N/A           | N/A          |
| c7g.large           | 2    | arm64      | 4.0      | None      |  0.0491      | 1.18          | 35.87        |
| c7gd.large          | 2    | arm64      | 4.0      | 118       |  0.0576      | 1.38          | 42.08        |
| c7gn.large          | 2    | arm64      | 4.0      | None      | N/A          | N/A           | N/A          |
| c7i-flex.large      | 2    | x86_64     | 4.0      | None      |  0.08479     | 2.03          | 61.94        |
| c7i.large           | 2    | x86_64     | 4.0      | None      |  0.08925     | 2.14          | 65.2         |
| c8g.large           | 2    | arm64      | 4.0      | None      | N/A          | N/A           | N/A          |
| t2.medium           | 2    | i386       | 4.0      | None      |  0.0496      | 1.19          | 36.24        |
| t3.medium           | 2    | x86_64     | 4.0      | None      |  0.0448      | 1.08          | 32.73        |
| t3a.medium          | 2    | x86_64     | 4.0      | None      |  0.0246      | 0.59          | 17.97        |
| t4g.medium          | 2    | arm64      | 4.0      | None      |  0.0224      | 0.54          | 16.36        |
| c5n.large           | 2    | x86_64     | 5.2      | None      |  0.108       | 2.59          | 78.9         |
| is4gen.medium       | 1    | arm64      | 6.0      | 937       |  0.16375     | 3.93          | 119.63       |
| c1.xlarge           | 8    | x86_64     | 7.0      | 1680      | N/A          | N/A           | N/A          |
| m1.large            | 2    | x86_64     | 7.5      | 840       | N/A          | N/A           | N/A          |
| m3.large            | 2    | x86_64     | 7.5      | 32        | N/A          | N/A           | N/A          |
| c3.xlarge           | 4    | x86_64     | 7.5      | 80        | N/A          | N/A           | N/A          |
| c4.xlarge           | 4    | x86_64     | 7.5      | None      |  0.2         | 4.8           | 146.11       |
| r6g.medium          | 1    | arm64      | 8.0      | None      |  0.0325      | 0.78          | 23.74        |
| r6gd.medium         | 1    | arm64      | 8.0      | 59        |  0.0374      | 0.9           | 27.32        |
| r7a.medium          | 1    | x86_64     | 8.0      | None      | N/A          | N/A           | N/A          |
| r7g.medium          | 1    | arm64      | 8.0      | None      |  0.0375      | 0.9           | 27.4         |
| r7gd.medium         | 1    | arm64      | 8.0      | 59        |  0.044       | 1.06          | 32.14        |
| r8g.medium          | 1    | arm64      | 8.0      | None      |  0.04129     | 0.99          | 30.16        |
| im4gn.large         | 2    | arm64      | 8.0      | 937       | N/A          | N/A           | N/A          |
| m4.large            | 2    | x86_64     | 8.0      | None      |  0.105       | 2.52          | 76.71        |
| m5.large            | 2    | x86_64     | 8.0      | None      |  0.101       | 2.42          | 73.79        |
| m5a.large           | 2    | x86_64     | 8.0      | None      |  0.056       | 1.34          | 40.91        |
| m5ad.large          | 2    | x86_64     | 8.0      | 75        |  0.067       | 1.61          | 48.95        |
| m5d.large           | 2    | x86_64     | 8.0      | 75        |  0.122       | 2.93          | 89.13        |
| m5dn.large          | 2    | x86_64     | 8.0      | 75        | N/A          | N/A           | N/A          |
| m5n.large           | 2    | x86_64     | 8.0      | None      | N/A          | N/A           | N/A          |
| m5zn.large          | 2    | x86_64     | 8.0      | None      | N/A          | N/A           | N/A          |
| m6a.large           | 2    | x86_64     | 8.0      | None      |  0.05555     | 1.33          | 40.58        |
| m6g.large           | 2    | arm64      | 8.0      | None      |  0.0506      | 1.21          | 36.97        |
| m6gd.large          | 2    | arm64      | 8.0      | 118       |  0.0604      | 1.45          | 44.13        |
| m6i.large           | 2    | x86_64     | 8.0      | None      |  0.101       | 2.42          | 73.79        |
| m6id.large          | 2    | x86_64     | 8.0      | 118       |  0.1281      | 3.07          | 93.58        |
| m6idn.large         | 2    | x86_64     | 8.0      | 118       |  0.16965     | 4.07          | 123.94       |
| m6in.large          | 2    | x86_64     | 8.0      | None      |  0.14508     | 3.48          | 105.99       |
| m7a.large           | 2    | x86_64     | 8.0      | None      | N/A          | N/A           | N/A          |
| m7g.large           | 2    | arm64      | 8.0      | None      |  0.0583      | 1.4           | 42.59        |
| m7gd.large          | 2    | arm64      | 8.0      | 118       |  0.071       | 1.7           | 51.87        |
| m7i-flex.large      | 2    | x86_64     | 8.0      | None      |  0.10075     | 2.42          | 73.6         |
| m7i.large           | 2    | x86_64     | 8.0      | None      |  0.10605     | 2.55          | 77.48        |
| m8g.large           | 2    | arm64      | 8.0      | None      | N/A          | N/A           | N/A          |
| t2.large            | 2    | x86_64     | 8.0      | None      |  0.0992      | 2.38          | 72.47        |
| t3.large            | 2    | x86_64     | 8.0      | None      |  0.0896      | 2.15          | 65.46        |
| t3a.large           | 2    | x86_64     | 8.0      | None      |  0.0493      | 1.18          | 36.02        |
| t4g.large           | 2    | arm64      | 8.0      | None      |  0.0448      | 1.08          | 32.73        |
| a1.xlarge           | 4    | arm64      | 8.0      | None      |  0.102       | 2.45          | 74.52        |
| c5.xlarge           | 4    | x86_64     | 8.0      | None      |  0.17        | 4.08          | 124.2        |
| c5a.xlarge          | 4    | x86_64     | 8.0      | None      |  0.094       | 2.26          | 68.67        |
| c5ad.xlarge         | 4    | x86_64     | 8.0      | 150       | N/A          | N/A           | N/A          |
| c5d.xlarge          | 4    | x86_64     | 8.0      | 100       |  0.198       | 4.75          | 144.65       |
| c6a.xlarge          | 4    | x86_64     | 8.0      | None      |  0.0935      | 2.24          | 68.31        |
| c6g.xlarge          | 4    | arm64      | 8.0      | None      |  0.0852      | 2.04          | 62.24        |
| c6gd.xlarge         | 4    | arm64      | 8.0      | 237       |  0.098       | 2.35          | 71.59        |
| c6gn.xlarge         | 4    | arm64      | 8.0      | None      |  0.173       | 4.15          | 126.39       |
| c6i.xlarge          | 4    | x86_64     | 8.0      | None      |  0.17        | 4.08          | 124.2        |
| c6id.xlarge         | 4    | x86_64     | 8.0      | 237       | N/A          | N/A           | N/A          |
| c6in.xlarge         | 4    | x86_64     | 8.0      | None      |  0.2268      | 5.44          | 165.69       |
| c7a.xlarge          | 4    | x86_64     | 8.0      | None      | N/A          | N/A           | N/A          |
| c7g.xlarge          | 4    | arm64      | 8.0      | None      |  0.0982      | 2.36          | 71.74        |
| c7gd.xlarge         | 4    | arm64      | 8.0      | 237       |  0.1152      | 2.76          | 84.16        |
| c7gn.xlarge         | 4    | arm64      | 8.0      | None      | N/A          | N/A           | N/A          |
| c7i-flex.xlarge     | 4    | x86_64     | 8.0      | None      |  0.16958     | 4.07          | 123.89       |
| c7i.xlarge          | 4    | x86_64     | 8.0      | None      |  0.1785      | 4.28          | 130.4        |
| c8g.xlarge          | 4    | arm64      | 8.0      | None      | N/A          | N/A           | N/A          |
| g5g.xlarge          | 4    | arm64      | 8.0      | None      | N/A          | N/A           | N/A          |
| inf1.xlarge         | 4    | x86_64     | 8.0      | None      |  0.24        | 5.76          | 175.33       |
| c5n.xlarge          | 4    | x86_64     | 10.5     | None      |  0.216       | 5.18          | 157.8        |
| is4gen.large        | 2    | arm64      | 12.0     | 1875      |  0.3275      | 7.86          | 239.26       |
| r3.large            | 2    | x86_64     | 15.0     | 32        |  0.19        | 4.56          | 138.81       |
| m1.xlarge           | 4    | x86_64     | 15.0     | 1680      | N/A          | N/A           | N/A          |
| m3.xlarge           | 4    | x86_64     | 15.0     | 80        | N/A          | N/A           | N/A          |
| c3.2xlarge          | 8    | x86_64     | 15.0     | 160       | N/A          | N/A           | N/A          |
| c4.2xlarge          | 8    | x86_64     | 15.0     | None      |  0.4         | 9.6           | 292.22       |
| i3.large            | 2    | x86_64     | 15.2     | 475       |  0.177       | 4.25          | 129.31       |
| r4.large            | 2    | x86_64     | 15.2     | None      |  0.137       | 3.29          | 100.09       |
| x2gd.medium         | 1    | arm64      | 16.0     | 59        | N/A          | N/A           | N/A          |
| x8g.medium          | 1    | arm64      | 16.0     | None      | N/A          | N/A           | N/A          |
| i3en.large          | 2    | x86_64     | 16.0     | 1250      |  0.257       | 6.17          | 187.75       |
| i4g.large           | 2    | arm64      | 16.0     | 468       | N/A          | N/A           | N/A          |
| i4i.large           | 2    | x86_64     | 16.0     | 468       |  0.195       | 4.68          | 142.46       |
| i7ie.large          | 2    | x86_64     | 16.0     | 1250      | N/A          | N/A           | N/A          |
| i8g.large           | 2    | arm64      | 16.0     | 468       | N/A          | N/A           | N/A          |
| r5.large            | 2    | x86_64     | 16.0     | None      |  0.13        | 3.12          | 94.97        |
| r5a.large           | 2    | x86_64     | 16.0     | None      |  0.072       | 1.73          | 52.6         |
| r5ad.large          | 2    | x86_64     | 16.0     | 75        |  0.083       | 1.99          | 60.64        |
| r5b.large           | 2    | x86_64     | 16.0     | None      | N/A          | N/A           | N/A          |
| r5d.large           | 2    | x86_64     | 16.0     | 75        |  0.151       | 3.62          | 110.31       |
| r5dn.large          | 2    | x86_64     | 16.0     | 75        | N/A          | N/A           | N/A          |
| r5n.large           | 2    | x86_64     | 16.0     | None      |  0.153       | 3.67          | 111.78       |
| r6a.large           | 2    | x86_64     | 16.0     | None      |  0.0715      | 1.72          | 52.24        |
| r6g.large           | 2    | arm64      | 16.0     | None      |  0.065       | 1.56          | 47.49        |
| r6gd.large          | 2    | arm64      | 16.0     | 118       |  0.0747      | 1.79          | 54.57        |
| r6i.large           | 2    | x86_64     | 16.0     | None      |  0.13        | 3.12          | 94.97        |
| r6id.large          | 2    | x86_64     | 16.0     | 118       |  0.1586      | 3.81          | 115.87       |
| r6idn.large         | 2    | x86_64     | 16.0     | 118       | N/A          | N/A           | N/A          |
| r6in.large          | 2    | x86_64     | 16.0     | None      | N/A          | N/A           | N/A          |
| r7a.large           | 2    | x86_64     | 16.0     | None      | N/A          | N/A           | N/A          |
| r7g.large           | 2    | arm64      | 16.0     | None      |  0.0751      | 1.8           | 54.87        |
| r7gd.large          | 2    | arm64      | 16.0     | 118       |  0.088       | 2.11          | 64.29        |
| r7i.large           | 2    | x86_64     | 16.0     | None      |  0.1365      | 3.28          | 99.72        |
| r7iz.large          | 2    | x86_64     | 16.0     | None      | N/A          | N/A           | N/A          |
| r8g.large           | 2    | arm64      | 16.0     | None      |  0.08258     | 1.98          | 60.33        |
| z1d.large           | 2    | x86_64     | 16.0     | 75        |  0.196       | 4.7           | 143.19       |
| d3en.xlarge         | 4    | x86_64     | 16.0     | 27960     | N/A          | N/A           | N/A          |
| g4ad.xlarge         | 4    | x86_64     | 16.0     | 150       | N/A          | N/A           | N/A          |
| g4dn.xlarge         | 4    | x86_64     | 16.0     | 125       |  0.579       | 13.9          | 422.99       |
| g5.xlarge           | 4    | x86_64     | 16.0     | 250       |  1.208       | 28.99         | 882.52       |
| g6.xlarge           | 4    | x86_64     | 16.0     | 250       |  0.9664      | 23.19         | 706.01       |
| im4gn.xlarge        | 4    | arm64      | 16.0     | 1875      | N/A          | N/A           | N/A          |
| inf2.xlarge         | 4    | x86_64     | 16.0     | None      |  0.98566     | 23.66         | 720.08       |
