+---------------------+------+------------+----------+-----------+--------------+---------------+--------------+
| Instance type       | vCPU | CPU type   | RAM (GB) | Disk (GB) | Price ($/hr) | Price ($/day) | Price ($/mo) |
+---------------------+------+------------+----------+-----------+--------------+---------------+--------------+
| t2.nano             | 1    | i386       | 0.5      | None      | N/A          | N/A           | N/A          |
| t3.nano             | 2    | x86_64     | 0.5      | None      |  0.0054      | 0.13          | 3.95         |
| t3a.nano            | 2    | x86_64     | 0.5      | None      | N/A          | N/A           | N/A          |
| t4g.nano            | 2    | arm64      | 0.5      | None      |  0.0043      | 0.1           | 3.14         |
| t1.micro            | 1    | i386       | 0.6      | None      | N/A          | N/A           | N/A          |
| t2.micro            | 1    | i386       | 1.0      | None      | N/A          | N/A           | N/A          |
| t3.micro            | 2    | x86_64     | 1.0      | None      |  0.0108      | 0.26          | 7.89         |
| t3a.micro           | 2    | x86_64     | 1.0      | None      | N/A          | N/A           | N/A          |
| t4g.micro           | 2    | arm64      | 1.0      | None      |  0.0086      | 0.21          | 6.28         |
| m1.small            | 1    | i386       | 1.7      | 160       | N/A          | N/A           | N/A          |
| c1.medium           | 2    | i386       | 1.7      | 350       | N/A          | N/A           | N/A          |
| a1.medium           | 1    | arm64      | 2.0      | None      | N/A          | N/A           | N/A          |
| c6g.medium          | 1    | arm64      | 2.0      | None      |  0.0365      | 0.88          | 26.67        |
| c6gd.medium         | 1    | arm64      | 2.0      | 59        |  0.0416      | 1             | 30.39        |
| c6gn.medium         | 1    | arm64      | 2.0      | None      |  0.0465      | 1.12          | 33.97        |
| c7a.medium          | 1    | x86_64     | 2.0      | None      |  0.05494     | 1.32          | 40.14        |
| c7g.medium          | 1    | arm64      | 2.0      | None      |  0.0387      | 0.93          | 28.27        |
| c7gd.medium         | 1    | arm64      | 2.0      | 59        |  0.0491      | 1.18          | 35.87        |
| c7gn.medium         | 1    | arm64      | 2.0      | None      | N/A          | N/A           | N/A          |
| c8g.medium          | 1    | arm64      | 2.0      | None      | N/A          | N/A           | N/A          |
| t2.small            | 1    | i386       | 2.0      | None      | N/A          | N/A           | N/A          |
| t3.small            | 2    | x86_64     | 2.0      | None      |  0.0216      | 0.52          | 15.78        |
| t3a.small           | 2    | x86_64     | 2.0      | None      | N/A          | N/A           | N/A          |
| t4g.small           | 2    | arm64      | 2.0      | None      |  0.0172      | 0.41          | 12.57        |
| m1.medium           | 1    | i386       | 3.7      | 410       | N/A          | N/A           | N/A          |
| m3.medium           | 1    | x86_64     | 3.8      | 4         | N/A          | N/A           | N/A          |
| c3.large            | 2    | i386       | 3.8      | 32        | N/A          | N/A           | N/A          |
| c4.large            | 2    | x86_64     | 3.8      | None      | N/A          | N/A           | N/A          |
| m6g.medium          | 1    | arm64      | 4.0      | None      |  0.041       | 0.98          | 29.95        |
| m6gd.medium         | 1    | arm64      | 4.0      | 59        |  0.048       | 1.15          | 35.07        |
| m7a.medium          | 1    | x86_64     | 4.0      | None      |  0.06158     | 1.48          | 44.99        |
| m7g.medium          | 1    | arm64      | 4.0      | None      |  0.0434      | 1.04          | 31.71        |
| m7gd.medium         | 1    | arm64      | 4.0      | 59        |  0.0567      | 1.36          | 41.42        |
| m8g.medium          | 1    | arm64      | 4.0      | None      | N/A          | N/A           | N/A          |
| a1.large            | 2    | arm64      | 4.0      | None      | N/A          | N/A           | N/A          |
| c5.large            | 2    | x86_64     | 4.0      | None      |  0.091       | 2.18          | 66.48        |
| c5a.large           | 2    | x86_64     | 4.0      | None      |  0.082       | 1.97          | 59.91        |
| c5ad.large          | 2    | x86_64     | 4.0      | 75        | N/A          | N/A           | N/A          |
| c5d.large           | 2    | x86_64     | 4.0      | 50        |  0.104       | 2.5           | 75.98        |
| c6a.large           | 2    | x86_64     | 4.0      | None      | N/A          | N/A           | N/A          |
| c6g.large           | 2    | arm64      | 4.0      | None      |  0.073       | 1.75          | 53.33        |
| c6gd.large          | 2    | arm64      | 4.0      | 118       |  0.0832      | 2             | 60.78        |
| c6gn.large          | 2    | arm64      | 4.0      | None      |  0.093       | 2.23          | 67.94        |
| c6i.large           | 2    | x86_64     | 4.0      | None      |  0.091       | 2.18          | 66.48        |
| c6id.large          | 2    | x86_64     | 4.0      | 118       | N/A          | N/A           | N/A          |
| c6in.large          | 2    | x86_64     | 4.0      | None      |  0.1218      | 2.92          | 88.98        |
| c7a.large           | 2    | x86_64     | 4.0      | None      |  0.10988     | 2.64          | 80.27        |
| c7g.large           | 2    | arm64      | 4.0      | None      |  0.0774      | 1.86          | 56.55        |
| c7gd.large          | 2    | arm64      | 4.0      | 118       |  0.0983      | 2.36          | 71.81        |
| c7gn.large          | 2    | arm64      | 4.0      | None      | N/A          | N/A           | N/A          |
| c7i-flex.large      | 2    | x86_64     | 4.0      | None      |  0.09077     | 2.18          | 66.31        |
| c7i.large           | 2    | x86_64     | 4.0      | None      |  0.09555     | 2.29          | 69.81        |
| c8g.large           | 2    | arm64      | 4.0      | None      | N/A          | N/A           | N/A          |
| t2.medium           | 2    | i386       | 4.0      | None      | N/A          | N/A           | N/A          |
| t3.medium           | 2    | x86_64     | 4.0      | None      |  0.0432      | 1.04          | 31.56        |
| t3a.medium          | 2    | x86_64     | 4.0      | None      | N/A          | N/A           | N/A          |
| t4g.medium          | 2    | arm64      | 4.0      | None      |  0.0344      | 0.83          | 25.13        |
| c5n.large           | 2    | x86_64     | 5.2      | None      |  0.116       | 2.78          | 84.74        |
| is4gen.medium       | 1    | arm64      | 6.0      | 937       | N/A          | N/A           | N/A          |
| c1.xlarge           | 8    | x86_64     | 7.0      | 1680      | N/A          | N/A           | N/A          |
| m1.large            | 2    | x86_64     | 7.5      | 840       | N/A          | N/A           | N/A          |
| m3.large            | 2    | x86_64     | 7.5      | 32        | N/A          | N/A           | N/A          |
| c3.xlarge           | 4    | x86_64     | 7.5      | 80        | N/A          | N/A           | N/A          |
| c4.xlarge           | 4    | x86_64     | 7.5      | None      | N/A          | N/A           | N/A          |
| r6g.medium          | 1    | arm64      | 8.0      | None      |  0.0535      | 1.28          | 39.08        |
| r6gd.medium         | 1    | arm64      | 8.0      | 59        |  0.0608      | 1.46          | 44.42        |
| r7a.medium          | 1    | x86_64     | 8.0      | None      |  0.0809      | 1.94          | 59.1         |
| r7g.medium          | 1    | arm64      | 8.0      | None      |  0.057       | 1.37          | 41.64        |
| r7gd.medium         | 1    | arm64      | 8.0      | 59        |  0.0718      | 1.72          | 52.45        |
| r8g.medium          | 1    | arm64      | 8.0      | None      |  0.06265     | 1.5           | 45.77        |
| im4gn.large         | 2    | arm64      | 8.0      | 937       | N/A          | N/A           | N/A          |
| m4.large            | 2    | x86_64     | 8.0      | None      | N/A          | N/A           | N/A          |
| m5.large            | 2    | x86_64     | 8.0      | None      |  0.102       | 2.45          | 74.52        |
| m5a.large           | 2    | x86_64     | 8.0      | None      | N/A          | N/A           | N/A          |
| m5ad.large          | 2    | x86_64     | 8.0      | 75        | N/A          | N/A           | N/A          |
| m5d.large           | 2    | x86_64     | 8.0      | 75        |  0.12        | 2.88          | 87.67        |
| m5dn.large          | 2    | x86_64     | 8.0      | 75        | N/A          | N/A           | N/A          |
| m5n.large           | 2    | x86_64     | 8.0      | None      | N/A          | N/A           | N/A          |
| m5zn.large          | 2    | x86_64     | 8.0      | None      | N/A          | N/A           | N/A          |
| m6a.large           | 2    | x86_64     | 8.0      | None      | N/A          | N/A           | N/A          |
| m6g.large           | 2    | arm64      | 8.0      | None      |  0.082       | 1.97          | 59.91        |
| m6gd.large          | 2    | arm64      | 8.0      | 118       |  0.096       | 2.3           | 70.13        |
| m6i.large           | 2    | x86_64     | 8.0      | None      |  0.102       | 2.45          | 74.52        |
| m6id.large          | 2    | x86_64     | 8.0      | 118       | N/A          | N/A           | N/A          |
| m6idn.large         | 2    | x86_64     | 8.0      | 118       |  0.166       | 3.98          | 121.27       |
| m6in.large          | 2    | x86_64     | 8.0      | None      |  0.148       | 3.55          | 108.12       |
| m7a.large           | 2    | x86_64     | 8.0      | None      |  0.12316     | 2.96          | 89.98        |
| m7g.large           | 2    | arm64      | 8.0      | None      |  0.0867      | 2.08          | 63.34        |
| m7gd.large          | 2    | arm64      | 8.0      | 118       |  0.1134      | 2.72          | 82.85        |
| m7i-flex.large      | 2    | x86_64     | 8.0      | None      |  0.10175     | 2.44          | 74.33        |
| m7i.large           | 2    | x86_64     | 8.0      | None      |  0.1071      | 2.57          | 78.24        |
| m8g.large           | 2    | arm64      | 8.0      | None      | N/A          | N/A           | N/A          |
| t2.large            | 2    | x86_64     | 8.0      | None      | N/A          | N/A           | N/A          |
| t3.large            | 2    | x86_64     | 8.0      | None      |  0.0864      | 2.07          | 63.12        |
| t3a.large           | 2    | x86_64     | 8.0      | None      | N/A          | N/A           | N/A          |
| t4g.large           | 2    | arm64      | 8.0      | None      |  0.0688      | 1.65          | 50.26        |
| a1.xlarge           | 4    | arm64      | 8.0      | None      | N/A          | N/A           | N/A          |
| c5.xlarge           | 4    | x86_64     | 8.0      | None      |  0.182       | 4.37          | 132.96       |
| c5a.xlarge          | 4    | x86_64     | 8.0      | None      |  0.164       | 3.94          | 119.81       |
| c5ad.xlarge         | 4    | x86_64     | 8.0      | 150       | N/A          | N/A           | N/A          |
| c5d.xlarge          | 4    | x86_64     | 8.0      | 100       |  0.208       | 4.99          | 151.96       |
| c6a.xlarge          | 4    | x86_64     | 8.0      | None      | N/A          | N/A           | N/A          |
| c6g.xlarge          | 4    | arm64      | 8.0      | None      |  0.146       | 3.5           | 106.66       |
| c6gd.xlarge         | 4    | arm64      | 8.0      | 237       |  0.1664      | 3.99          | 121.57       |
| c6gn.xlarge         | 4    | arm64      | 8.0      | None      |  0.186       | 4.46          | 135.88       |
| c6i.xlarge          | 4    | x86_64     | 8.0      | None      |  0.182       | 4.37          | 132.96       |
| c6id.xlarge         | 4    | x86_64     | 8.0      | 237       | N/A          | N/A           | N/A          |
| c6in.xlarge         | 4    | x86_64     | 8.0      | None      |  0.2436      | 5.85          | 177.96       |
| c7a.xlarge          | 4    | x86_64     | 8.0      | None      |  0.21976     | 5.27          | 160.55       |
| c7g.xlarge          | 4    | arm64      | 8.0      | None      |  0.1547      | 3.71          | 113.02       |
| c7gd.xlarge         | 4    | arm64      | 8.0      | 237       |  0.1966      | 4.72          | 143.63       |
| c7gn.xlarge         | 4    | arm64      | 8.0      | None      | N/A          | N/A           | N/A          |
| c7i-flex.xlarge     | 4    | x86_64     | 8.0      | None      |  0.18155     | 4.36          | 132.63       |
| c7i.xlarge          | 4    | x86_64     | 8.0      | None      |  0.1911      | 4.59          | 139.61       |
| c8g.xlarge          | 4    | arm64      | 8.0      | None      | N/A          | N/A           | N/A          |
| g5g.xlarge          | 4    | arm64      | 8.0      | None      | N/A          | N/A           | N/A          |
| inf1.xlarge         | 4    | x86_64     | 8.0      | None      |  0.242       | 5.81          | 176.8        |
| c5n.xlarge          | 4    | x86_64     | 10.5     | None      |  0.232       | 5.57          | 169.49       |
| is4gen.large        | 2    | arm64      | 12.0     | 1875      | N/A          | N/A           | N/A          |
