+---------------------+------+------------+----------+-----------+--------------+---------------+--------------+
| Instance type       | vCPU | CPU type   | RAM (GB) | Disk (GB) | Price ($/hr) | Price ($/day) | Price ($/mo) |
+---------------------+------+------------+----------+-----------+--------------+---------------+--------------+
| t2.nano             | 1    | i386       | 0.5      | None      |  0.0093      | 0.22          | 6.79         |
| t3.nano             | 2    | x86_64     | 0.5      | None      |  0.0084      | 0.2           | 6.14         |
| t3a.nano            | 2    | x86_64     | 0.5      | None      |  0.0076      | 0.18          | 5.55         |
| t4g.nano            | 2    | arm64      | 0.5      | None      |  0.0067      | 0.16          | 4.89         |
| t1.micro            | 1    | i386       | 0.6      | None      |  0.027       | 0.65          | 19.73        |
| t2.micro            | 1    | i386       | 1.0      | None      |  0.0186      | 0.45          | 13.59        |
| t3.micro            | 2    | x86_64     | 1.0      | None      |  0.0168      | 0.4           | 12.27        |
| t3a.micro           | 2    | x86_64     | 1.0      | None      |  0.0151      | 0.36          | 11.03        |
| t4g.micro           | 2    | arm64      | 1.0      | None      |  0.0134      | 0.32          | 9.79         |
| m1.small            | 1    | i386       | 1.7      | 160       |  0.058       | 1.39          | 42.37        |
| c1.medium           | 2    | i386       | 1.7      | 350       |  0.179       | 4.3           | 130.77       |
| a1.medium           | 1    | arm64      | 2.0      | None      | N/A          | N/A           | N/A          |
| c6g.medium          | 1    | arm64      | 2.0      | None      |  0.0524      | 1.26          | 38.28        |
| c6gd.medium         | 1    | arm64      | 2.0      | 59        |  0.0595      | 1.43          | 43.47        |
| c6gn.medium         | 1    | arm64      | 2.0      | None      |  0.0665      | 1.6           | 48.58        |
| c7a.medium          | 1    | x86_64     | 2.0      | None      | N/A          | N/A           | N/A          |
| c7g.medium          | 1    | arm64      | 2.0      | None      |  0.0555      | 1.33          | 40.55        |
| c7gd.medium         | 1    | arm64      | 2.0      | 59        | N/A          | N/A           | N/A          |
| c7gn.medium         | 1    | arm64      | 2.0      | None      | N/A          | N/A           | N/A          |
| c8g.medium          | 1    | arm64      | 2.0      | None      | N/A          | N/A           | N/A          |
| t2.small            | 1    | i386       | 2.0      | None      |  0.0372      | 0.89          | 27.18        |
| t3.small            | 2    | x86_64     | 2.0      | None      |  0.0336      | 0.81          | 24.55        |
| t3a.small           | 2    | x86_64     | 2.0      | None      |  0.0302      | 0.72          | 22.06        |
| t4g.small           | 2    | arm64      | 2.0      | None      |  0.0268      | 0.64          | 19.58        |
| m1.medium           | 1    | i386       | 3.7      | 410       |  0.117       | 2.81          | 85.48        |
| m3.medium           | 1    | x86_64     | 3.8      | 4         |  0.095       | 2.28          | 69.4         |
| c3.large            | 2    | i386       | 3.8      | 32        |  0.163       | 3.91          | 119.08       |
| c4.large            | 2    | x86_64     | 3.8      | None      |  0.155       | 3.72          | 113.24       |
| m6g.medium          | 1    | arm64      | 4.0      | None      |  0.0612      | 1.47          | 44.71        |
| m6gd.medium         | 1    | arm64      | 4.0      | 59        |  0.072       | 1.73          | 52.6         |
| m7a.medium          | 1    | x86_64     | 4.0      | None      | N/A          | N/A           | N/A          |
| m7g.medium          | 1    | arm64      | 4.0      | None      |  0.065       | 1.56          | 47.49        |
| m7gd.medium         | 1    | arm64      | 4.0      | 59        |  0.0851      | 2.04          | 62.17        |
| m8g.medium          | 1    | arm64      | 4.0      | None      | N/A          | N/A           | N/A          |
| a1.large            | 2    | arm64      | 4.0      | None      | N/A          | N/A           | N/A          |
| c5.large            | 2    | x86_64     | 4.0      | None      |  0.131       | 3.14          | 95.7         |
| c5a.large           | 2    | x86_64     | 4.0      | None      |  0.118       | 2.83          | 86.21        |
| c5ad.large          | 2    | x86_64     | 4.0      | 75        |  0.134       | 3.22          | 97.9         |
| c5d.large           | 2    | x86_64     | 4.0      | 50        |  0.149       | 3.58          | 108.85       |
| c6a.large           | 2    | x86_64     | 4.0      | None      |  0.1179      | 2.83          | 86.13        |
| c6g.large           | 2    | arm64      | 4.0      | None      |  0.1048      | 2.52          | 76.56        |
| c6gd.large          | 2    | arm64      | 4.0      | 118       |  0.119       | 2.86          | 86.94        |
| c6gn.large          | 2    | arm64      | 4.0      | None      |  0.133       | 3.19          | 97.16        |
| c6i.large           | 2    | x86_64     | 4.0      | None      |  0.131       | 3.14          | 95.7         |
| c6id.large          | 2    | x86_64     | 4.0      | 118       |  0.15645     | 3.75          | 114.3        |
| c6in.large          | 2    | x86_64     | 4.0      | None      |  0.1743      | 4.18          | 127.34       |
| c7a.large           | 2    | x86_64     | 4.0      | None      | N/A          | N/A           | N/A          |
| c7g.large           | 2    | arm64      | 4.0      | None      |  0.1111      | 2.67          | 81.17        |
| c7gd.large          | 2    | arm64      | 4.0      | 118       | N/A          | N/A           | N/A          |
| c7gn.large          | 2    | arm64      | 4.0      | None      | N/A          | N/A           | N/A          |
| c7i-flex.large      | 2    | x86_64     | 4.0      | None      |  0.13067     | 3.14          | 95.46        |
| c7i.large           | 2    | x86_64     | 4.0      | None      |  0.13755     | 3.3           | 100.49       |
| c8g.large           | 2    | arm64      | 4.0      | None      | N/A          | N/A           | N/A          |
| t2.medium           | 2    | i386       | 4.0      | None      |  0.0744      | 1.79          | 54.35        |
| t3.medium           | 2    | x86_64     | 4.0      | None      |  0.0672      | 1.61          | 49.09        |
| t3a.medium          | 2    | x86_64     | 4.0      | None      |  0.0605      | 1.45          | 44.2         |
| t4g.medium          | 2    | arm64      | 4.0      | None      |  0.0536      | 1.29          | 39.16        |
| c5n.large           | 2    | x86_64     | 5.2      | None      |  0.166       | 3.98          | 121.27       |
| is4gen.medium       | 1    | arm64      | 6.0      | 937       | N/A          | N/A           | N/A          |
| c1.xlarge           | 8    | x86_64     | 7.0      | 1680      |  0.718       | 17.23         | 524.54       |
| m1.large            | 2    | x86_64     | 7.5      | 840       |  0.233       | 5.59          | 170.22       |
| m3.large            | 2    | x86_64     | 7.5      | 32        |  0.19        | 4.56          | 138.81       |
| c3.xlarge           | 4    | x86_64     | 7.5      | 80        |  0.325       | 7.8           | 237.43       |
| c4.xlarge           | 4    | x86_64     | 7.5      | None      |  0.309       | 7.42          | 225.74       |
| r6g.medium          | 1    | arm64      | 8.0      | None      |  0.0804      | 1.93          | 58.74        |
| r6gd.medium         | 1    | arm64      | 8.0      | 59        |  0.0912      | 2.19          | 66.63        |
| r7a.medium          | 1    | x86_64     | 8.0      | None      | N/A          | N/A           | N/A          |
| r7g.medium          | 1    | arm64      | 8.0      | None      |  0.0852      | 2.04          | 62.24        |
| r7gd.medium         | 1    | arm64      | 8.0      | 59        | N/A          | N/A           | N/A          |
| r8g.medium          | 1    | arm64      | 8.0      | None      | N/A          | N/A           | N/A          |
| im4gn.large         | 2    | arm64      | 8.0      | 937       | N/A          | N/A           | N/A          |
| m4.large            | 2    | x86_64     | 8.0      | None      |  0.159       | 3.82          | 116.16       |
| m5.large            | 2    | x86_64     | 8.0      | None      |  0.153       | 3.67          | 111.78       |
| m5a.large           | 2    | x86_64     | 8.0      | None      |  0.138       | 3.31          | 100.82       |
| m5ad.large          | 2    | x86_64     | 8.0      | 75        |  0.165       | 3.96          | 120.54       |
| m5d.large           | 2    | x86_64     | 8.0      | 75        |  0.18        | 4.32          | 131.5        |
| m5dn.large          | 2    | x86_64     | 8.0      | 75        | N/A          | N/A           | N/A          |
| m5n.large           | 2    | x86_64     | 8.0      | None      | N/A          | N/A           | N/A          |
| m5zn.large          | 2    | x86_64     | 8.0      | None      |  0.2632      | 6.32          | 192.28       |
| m6a.large           | 2    | x86_64     | 8.0      | None      |  0.1377      | 3.3           | 100.6        |
| m6g.large           | 2    | arm64      | 8.0      | None      |  0.1224      | 2.94          | 89.42        |
| m6gd.large          | 2    | arm64      | 8.0      | 118       |  0.144       | 3.46          | 105.2        |
| m6i.large           | 2    | x86_64     | 8.0      | None      |  0.153       | 3.67          | 111.78       |
| m6id.large          | 2    | x86_64     | 8.0      | 118       |  0.189       | 4.54          | 138.08       |
| m6idn.large         | 2    | x86_64     | 8.0      | 118       | N/A          | N/A           | N/A          |
| m6in.large          | 2    | x86_64     | 8.0      | None      | N/A          | N/A           | N/A          |
| m7a.large           | 2    | x86_64     | 8.0      | None      | N/A          | N/A           | N/A          |
| m7g.large           | 2    | arm64      | 8.0      | None      |  0.1301      | 3.12          | 95.05        |
| m7gd.large          | 2    | arm64      | 8.0      | 118       |  0.1701      | 4.08          | 124.27       |
| m7i-flex.large      | 2    | x86_64     | 8.0      | None      |  0.15262     | 3.66          | 111.5        |
| m7i.large           | 2    | x86_64     | 8.0      | None      |  0.16065     | 3.86          | 117.36       |
| m8g.large           | 2    | arm64      | 8.0      | None      | N/A          | N/A           | N/A          |
| t2.large            | 2    | x86_64     | 8.0      | None      |  0.1488      | 3.57          | 108.71       |
| t3.large            | 2    | x86_64     | 8.0      | None      |  0.1344      | 3.23          | 98.19        |
| t3a.large           | 2    | x86_64     | 8.0      | None      |  0.121       | 2.9           | 88.4         |
| t4g.large           | 2    | arm64      | 8.0      | None      |  0.1072      | 2.57          | 78.32        |
| a1.xlarge           | 4    | arm64      | 8.0      | None      | N/A          | N/A           | N/A          |
| c5.xlarge           | 4    | x86_64     | 8.0      | None      |  0.262       | 6.29          | 191.41       |
| c5a.xlarge          | 4    | x86_64     | 8.0      | None      |  0.236       | 5.66          | 172.41       |
| c5ad.xlarge         | 4    | x86_64     | 8.0      | 150       |  0.268       | 6.43          | 195.79       |
| c5d.xlarge          | 4    | x86_64     | 8.0      | 100       |  0.298       | 7.15          | 217.71       |
| c6a.xlarge          | 4    | x86_64     | 8.0      | None      |  0.2358      | 5.66          | 172.27       |
| c6g.xlarge          | 4    | arm64      | 8.0      | None      |  0.2096      | 5.03          | 153.13       |
| c6gd.xlarge         | 4    | arm64      | 8.0      | 237       |  0.238       | 5.71          | 173.87       |
| c6gn.xlarge         | 4    | arm64      | 8.0      | None      |  0.266       | 6.38          | 194.33       |
| c6i.xlarge          | 4    | x86_64     | 8.0      | None      |  0.262       | 6.29          | 191.41       |
| c6id.xlarge         | 4    | x86_64     | 8.0      | 237       |  0.3129      | 7.51          | 228.59       |
| c6in.xlarge         | 4    | x86_64     | 8.0      | None      |  0.3486      | 8.37          | 254.67       |
| c7a.xlarge          | 4    | x86_64     | 8.0      | None      | N/A          | N/A           | N/A          |
| c7g.xlarge          | 4    | arm64      | 8.0      | None      |  0.2222      | 5.33          | 162.33       |
| c7gd.xlarge         | 4    | arm64      | 8.0      | 237       | N/A          | N/A           | N/A          |
| c7gn.xlarge         | 4    | arm64      | 8.0      | None      | N/A          | N/A           | N/A          |
| c7i-flex.xlarge     | 4    | x86_64     | 8.0      | None      |  0.26135     | 6.27          | 190.93       |
| c7i.xlarge          | 4    | x86_64     | 8.0      | None      |  0.2751      | 6.6           | 200.98       |
| c8g.xlarge          | 4    | arm64      | 8.0      | None      | N/A          | N/A           | N/A          |
| g5g.xlarge          | 4    | arm64      | 8.0      | None      | N/A          | N/A           | N/A          |
| inf1.xlarge         | 4    | x86_64     | 8.0      | None      |  0.377       | 9.05          | 275.42       |
| c5n.xlarge          | 4    | x86_64     | 10.5     | None      |  0.332       | 7.97          | 242.55       |
| is4gen.large        | 2    | arm64      | 12.0     | 1875      | N/A          | N/A           | N/A          |
| r3.large            | 2    | x86_64     | 15.0     | 32        |  0.35        | 8.4           | 255.7        |
| m1.xlarge           | 4    | x86_64     | 15.0     | 1680      |  0.467       | 11.21         | 341.17       |
| m3.xlarge           | 4    | x86_64     | 15.0     | 80        |  0.381       | 9.14          | 278.34       |
| c3.2xlarge          | 8    | x86_64     | 15.0     | 160       |  0.65        | 15.6          | 474.86       |
| c4.2xlarge          | 8    | x86_64     | 15.0     | None      |  0.618       | 14.83         | 451.49       |
| i3.large            | 2    | x86_64     | 15.2     | 475       |  0.249       | 5.98          | 181.91       |
| r4.large            | 2    | x86_64     | 15.2     | None      |  0.28        | 6.72          | 204.56       |
| x2gd.medium         | 1    | arm64      | 16.0     | 59        | N/A          | N/A           | N/A          |
| x8g.medium          | 1    | arm64      | 16.0     | None      | N/A          | N/A           | N/A          |
| i3en.large          | 2    | x86_64     | 16.0     | 1250      |  0.36        | 8.64          | 263          |
| i4g.large           | 2    | arm64      | 16.0     | 468       | N/A          | N/A           | N/A          |
| i4i.large           | 2    | x86_64     | 16.0     | 468       |  0.274       | 6.58          | 200.17       |
| i7ie.large          | 2    | x86_64     | 16.0     | 1250      | N/A          | N/A           | N/A          |
| i8g.large           | 2    | arm64      | 16.0     | 468       | N/A          | N/A           | N/A          |
| r5.large            | 2    | x86_64     | 16.0     | None      |  0.201       | 4.82          | 146.84       |
| r5a.large           | 2    | x86_64     | 16.0     | None      |  0.181       | 4.34          | 132.23       |
| r5ad.large          | 2    | x86_64     | 16.0     | 75        |  0.208       | 4.99          | 151.96       |
| r5b.large           | 2    | x86_64     | 16.0     | None      |  0.237       | 5.69          | 173.14       |
| r5d.large           | 2    | x86_64     | 16.0     | 75        |  0.228       | 5.47          | 166.57       |
| r5dn.large          | 2    | x86_64     | 16.0     | 75        | N/A          | N/A           | N/A          |
| r5n.large           | 2    | x86_64     | 16.0     | None      |  0.236       | 5.66          | 172.41       |
| r6a.large           | 2    | x86_64     | 16.0     | None      | N/A          | N/A           | N/A          |
| r6g.large           | 2    | arm64      | 16.0     | None      |  0.1608      | 3.86          | 117.47       |
| r6gd.large          | 2    | arm64      | 16.0     | 118       |  0.1824      | 4.38          | 133.25       |
| r6i.large           | 2    | x86_64     | 16.0     | None      |  0.201       | 4.82          | 146.84       |
| r6id.large          | 2    | x86_64     | 16.0     | 118       | N/A          | N/A           | N/A          |
| r6idn.large         | 2    | x86_64     | 16.0     | 118       | N/A          | N/A           | N/A          |
| r6in.large          | 2    | x86_64     | 16.0     | None      | N/A          | N/A           | N/A          |
| r7a.large           | 2    | x86_64     | 16.0     | None      | N/A          | N/A           | N/A          |
| r7g.large           | 2    | arm64      | 16.0     | None      |  0.1704      | 4.09          | 124.49       |
| r7gd.large          | 2    | arm64      | 16.0     | 118       | N/A          | N/A           | N/A          |
| r7i.large           | 2    | x86_64     | 16.0     | None      |  0.21105     | 5.07          | 154.18       |
| r7iz.large          | 2    | x86_64     | 16.0     | None      | N/A          | N/A           | N/A          |
| r8g.large           | 2    | arm64      | 16.0     | None      | N/A          | N/A           | N/A          |
| z1d.large           | 2    | x86_64     | 16.0     | 75        | N/A          | N/A           | N/A          |
| d3en.xlarge         | 4    | x86_64     | 16.0     | 27960     | N/A          | N/A           | N/A          |
| g4ad.xlarge         | 4    | x86_64     | 16.0     | 150       | N/A          | N/A           | N/A          |
| g4dn.xlarge         | 4    | x86_64     | 16.0     | 125       |  0.894       | 21.46         | 653.12       |
