+---------------------+------+------------+----------+-----------+--------------+---------------+--------------+
| Instance type       | vCPU | CPU type   | RAM (GB) | Disk (GB) | Price ($/hr) | Price ($/day) | Price ($/mo) |
+---------------------+------+------------+----------+-----------+--------------+---------------+--------------+
| t2.nano             | 1    | i386       | 0.5      | None      |  0.0069      | 0.17          | 5.04         |
| t3.nano             | 2    | x86_64     | 0.5      | None      |  0.0062      | 0.15          | 4.53         |
| t3a.nano            | 2    | x86_64     | 0.5      | None      |  0.0056      | 0.13          | 4.09         |
| t4g.nano            | 2    | arm64      | 0.5      | None      |  0.005       | 0.12          | 3.65         |
| t1.micro            | 1    | i386       | 0.6      | None      |  0.025       | 0.6           | 18.26        |
| t2.micro            | 1    | i386       | 1.0      | None      |  0.0138      | 0.33          | 10.08        |
| t3.micro            | 2    | x86_64     | 1.0      | None      |  0.0124      | 0.3           | 9.06         |
| t3a.micro           | 2    | x86_64     | 1.0      | None      |  0.0112      | 0.27          | 8.18         |
| t4g.micro           | 2    | arm64      | 1.0      | None      |  0.01        | 0.24          | 7.31         |
| m1.small            | 1    | i386       | 1.7      | 160       |  0.047       | 1.13          | 34.34        |
| c1.medium           | 2    | i386       | 1.7      | 350       |  0.148       | 3.55          | 108.12       |
| a1.medium           | 1    | arm64      | 2.0      | None      | N/A          | N/A           | N/A          |
| c6g.medium          | 1    | arm64      | 2.0      | None      |  0.0424      | 1.02          | 30.98        |
| c6gd.medium         | 1    | arm64      | 2.0      | 59        |  0.048       | 1.15          | 35.07        |
| c6gn.medium         | 1    | arm64      | 2.0      | None      |  0.054       | 1.3           | 39.45        |
| c7a.medium          | 1    | x86_64     | 2.0      | None      | N/A          | N/A           | N/A          |
| c7g.medium          | 1    | arm64      | 2.0      | None      |  0.0451      | 1.08          | 32.95        |
| c7gd.medium         | 1    | arm64      | 2.0      | 59        |  0.0567      | 1.36          | 41.42        |
| c7gn.medium         | 1    | arm64      | 2.0      | None      | N/A          | N/A           | N/A          |
| c8g.medium          | 1    | arm64      | 2.0      | None      | N/A          | N/A           | N/A          |
| t2.small            | 1    | i386       | 2.0      | None      |  0.0276      | 0.66          | 20.16        |
| t3.small            | 2    | x86_64     | 2.0      | None      |  0.0248      | 0.6           | 18.12        |
| t3a.small           | 2    | x86_64     | 2.0      | None      |  0.0223      | 0.54          | 16.29        |
| t4g.small           | 2    | arm64      | 2.0      | None      |  0.02        | 0.48          | 14.61        |
| m1.medium           | 1    | i386       | 3.7      | 410       |  0.095       | 2.28          | 69.4         |
| m3.medium           | 1    | x86_64     | 3.8      | 4         |  0.077       | 1.85          | 56.25        |
| c3.large            | 2    | i386       | 3.8      | 32        |  0.12        | 2.88          | 87.67        |
| c4.large            | 2    | x86_64     | 3.8      | None      |  0.124       | 2.98          | 90.59        |
| m6g.medium          | 1    | arm64      | 4.0      | None      |  0.0448      | 1.08          | 32.73        |
| m6gd.medium         | 1    | arm64      | 4.0      | 59        |  0.053       | 1.27          | 38.72        |
| m7a.medium          | 1    | x86_64     | 4.0      | None      | N/A          | N/A           | N/A          |
| m7g.medium          | 1    | arm64      | 4.0      | None      |  0.0476      | 1.14          | 34.77        |
| m7gd.medium         | 1    | arm64      | 4.0      | 59        |  0.0628      | 1.51          | 45.88        |
| m8g.medium          | 1    | arm64      | 4.0      | None      | N/A          | N/A           | N/A          |
| a1.large            | 2    | arm64      | 4.0      | None      | N/A          | N/A           | N/A          |
| c5.large            | 2    | x86_64     | 4.0      | None      |  0.106       | 2.54          | 77.44        |
| c5a.large           | 2    | x86_64     | 4.0      | None      |  0.095       | 2.28          | 69.4         |
| c5ad.large          | 2    | x86_64     | 4.0      | 75        | N/A          | N/A           | N/A          |
| c5d.large           | 2    | x86_64     | 4.0      | 50        |  0.12        | 2.88          | 87.67        |
| c6a.large           | 2    | x86_64     | 4.0      | None      |  0.0954      | 2.29          | 69.7         |
| c6g.large           | 2    | arm64      | 4.0      | None      |  0.0848      | 2.04          | 61.95        |
