+---------------------+------+------------+----------+-----------+--------------+---------------+--------------+
| Instance type       | vCPU | CPU type   | RAM (GB) | Disk (GB) | Price ($/hr) | Price ($/day) | Price ($/mo) |
+---------------------+------+------------+----------+-----------+--------------+---------------+--------------+
| t2.nano             | 1    | i386       | 0.5      | None      |  0.0076      | 0.18          | 5.55         |
| t3.nano             | 2    | x86_64     | 0.5      | None      |  0.0114      | 0.27          | 8.33         |
| t3a.nano            | 2    | x86_64     | 0.5      | None      |  0.0107      | 0.26          | 7.82         |
| t4g.nano            | 2    | arm64      | 0.5      | None      | N/A          | N/A           | N/A          |
| t1.micro            | 1    | i386       | 0.6      | None      |  0.033       | 0.79          | 24.11        |
| t2.micro            | 1    | i386       | 1.0      | None      |  0.0152      | 0.36          | 11.1         |
| t3.micro            | 2    | x86_64     | 1.0      | None      |  0.0228      | 0.55          | 16.66        |
| t3a.micro           | 2    | x86_64     | 1.0      | None      |  0.0214      | 0.51          | 15.63        |
| t4g.micro           | 2    | arm64      | 1.0      | None      | N/A          | N/A           | N/A          |
| m1.small            | 1    | i386       | 1.7      | 160       |  0.088       | 2.11          | 64.29        |
| c1.medium           | 2    | i386       | 1.7      | 350       |  0.258       | 6.19          | 188.48       |
| a1.medium           | 1    | arm64      | 2.0      | None      | N/A          | N/A           | N/A          |
| c6g.medium          | 1    | arm64      | 2.0      | None      | N/A          | N/A           | N/A          |
| c6gd.medium         | 1    | arm64      | 2.0      | 59        | N/A          | N/A           | N/A          |
| c6gn.medium         | 1    | arm64      | 2.0      | None      | N/A          | N/A           | N/A          |
| c7a.medium          | 1    | x86_64     | 2.0      | None      |  0.0646      | 1.55          | 47.19        |
| c7g.medium          | 1    | arm64      | 2.0      | None      | N/A          | N/A           | N/A          |
| c7gd.medium         | 1    | arm64      | 2.0      | 59        | N/A          | N/A           | N/A          |
| c7gn.medium         | 1    | arm64      | 2.0      | None      | N/A          | N/A           | N/A          |
| c8g.medium          | 1    | arm64      | 2.0      | None      | N/A          | N/A           | N/A          |
| t2.small            | 1    | i386       | 2.0      | None      |  0.0304      | 0.73          | 22.21        |
| t3.small            | 2    | x86_64     | 2.0      | None      |  0.0456      | 1.09          | 33.31        |
| t3a.small           | 2    | x86_64     | 2.0      | None      |  0.0429      | 1.03          | 31.34        |
| t4g.small           | 2    | arm64      | 2.0      | None      | N/A          | N/A           | N/A          |
| m1.medium           | 1    | i386       | 3.7      | 410       |  0.177       | 4.25          | 129.31       |
| m3.medium           | 1    | x86_64     | 3.8      | 4         |  0.096       | 2.3           | 70.13        |
| c3.large            | 2    | i386       | 3.8      | 32        |  0.231       | 5.54          | 168.76       |
| c4.large            | 2    | x86_64     | 3.8      | None      |  0.218       | 5.23          | 159.26       |
| m6g.medium          | 1    | arm64      | 4.0      | None      | N/A          | N/A           | N/A          |
| m6gd.medium         | 1    | arm64      | 4.0      | 59        | N/A          | N/A           | N/A          |
| m7a.medium          | 1    | x86_64     | 4.0      | None      |  0.12087     | 2.9           | 88.3         |
| m7g.medium          | 1    | arm64      | 4.0      | None      | N/A          | N/A           | N/A          |
| m7gd.medium         | 1    | arm64      | 4.0      | 59        | N/A          | N/A           | N/A          |
| m8g.medium          | 1    | arm64      | 4.0      | None      | N/A          | N/A           | N/A          |
| a1.large            | 2    | arm64      | 4.0      | None      | N/A          | N/A           | N/A          |
| c5.large            | 2    | x86_64     | 4.0      | None      |  0.107       | 2.57          | 78.17        |
| c5a.large           | 2    | x86_64     | 4.0      | None      |  0.188       | 4.51          | 137.35       |
| c5ad.large          | 2    | x86_64     | 4.0      | 75        | N/A          | N/A           | N/A          |
| c5d.large           | 2    | x86_64     | 4.0      | 50        |  0.214       | 5.14          | 156.34       |
| c6a.large           | 2    | x86_64     | 4.0      | None      |  0.1883      | 4.52          | 137.56       |
| c6g.large           | 2    | arm64      | 4.0      | None      | N/A          | N/A           | N/A          |
| c6gd.large          | 2    | arm64      | 4.0      | 118       | N/A          | N/A           | N/A          |
| c6gn.large          | 2    | arm64      | 4.0      | None      | N/A          | N/A           | N/A          |
| c6i.large           | 2    | x86_64     | 4.0      | None      |  0.199       | 4.78          | 145.38       |
| c6id.large          | 2    | x86_64     | 4.0      | 118       |  0.2201      | 5.28          | 160.8        |
| c6in.large          | 2    | x86_64     | 4.0      | None      |  0.2348      | 5.64          | 171.54       |
| c7a.large           | 2    | x86_64     | 4.0      | None      |  0.2212      | 5.31          | 161.6        |
| c7g.large           | 2    | arm64      | 4.0      | None      | N/A          | N/A           | N/A          |
| c7gd.large          | 2    | arm64      | 4.0      | 118       | N/A          | N/A           | N/A          |
| c7gn.large          | 2    | arm64      | 4.0      | None      | N/A          | N/A           | N/A          |
| c7i-flex.large      | 2    | x86_64     | 4.0      | None      |  0.19413     | 4.66          | 141.82       |
| c7i.large           | 2    | x86_64     | 4.0      | None      |  0.20435     | 4.9           | 149.29       |
| c8g.large           | 2    | arm64      | 4.0      | None      | N/A          | N/A           | N/A          |
| t2.medium           | 2    | i386       | 4.0      | None      |  0.0788      | 1.89          | 57.57        |
| t3.medium           | 2    | x86_64     | 4.0      | None      |  0.0544      | 1.31          | 39.74        |
| t3a.medium          | 2    | x86_64     | 4.0      | None      |  0.0674      | 1.62          | 49.24        |
| t4g.medium          | 2    | arm64      | 4.0      | None      | N/A          | N/A           | N/A          |
| c5n.large           | 2    | x86_64     | 5.2      | None      |  0.228       | 5.47          | 166.57       |
| is4gen.medium       | 1    | arm64      | 6.0      | 937       | N/A          | N/A           | N/A          |
| c1.xlarge           | 8    | x86_64     | 7.0      | 1680      |  0.632       | 15.17         | 461.71       |
| m1.large            | 2    | x86_64     | 7.5      | 840       |  0.353       | 8.47          | 257.89       |
