+-------------------+------+------------+----------+-----------+--------------+---------------+--------------+
| Instance type     | vCPU | CPU type   | RAM (GB) | Disk (GB) | Price ($/hr) | Price ($/day) | Price ($/mo) |
+-------------------+------+------------+----------+-----------+--------------+---------------+--------------+
| t2.nano           | 1    | i386       | 0.5      | None      |  0.0096      | 0.23          | 7.01         |
| t3.nano           | 2    | x86_64     | 0.5      | None      |  0.0112      | 0.27          | 8.18         |
| t3a.nano          | 2    | x86_64     | 0.5      | None      |  0.0105      | 0.25          | 7.67         |
| t4g.nano          | 2    | arm64      | 0.5      | None      | N/A          | N/A           | N/A          |
| t1.micro          | 1    | i386       | 0.6      | None      |  0.02        | 0.48          | 14.61        |
| t2.micro          | 1    | i386       | 1.0      | None      |  0.0192      | 0.46          | 14.03        |
| t3.micro          | 2    | x86_64     | 1.0      | None      |  0.0132      | 0.32          | 9.64         |
| t3a.micro         | 2    | x86_64     | 1.0      | None      |  0.021       | 0.5           | 15.34        |
| t4g.micro         | 2    | arm64      | 1.0      | None      | N/A          | N/A           | N/A          |
| m1.small          | 1    | i386       | 1.7      | 160       |  0.093       | 2.23          | 67.94        |
| c1.medium         | 2    | i386       | 1.7      | 350       |  0.164       | 3.94          | 119.81       |
| a1.medium         | 1    | arm64      | 2.0      | None      | N/A          | N/A           | N/A          |
| c6g.medium        | 1    | arm64      | 2.0      | None      | N/A          | N/A           | N/A          |
| c6gd.medium       | 1    | arm64      | 2.0      | 59        | N/A          | N/A           | N/A          |
| c6gn.medium       | 1    | arm64      | 2.0      | None      | N/A          | N/A           | N/A          |
| c7g.medium        | 1    | arm64      | 2.0      | None      | N/A          | N/A           | N/A          |
| c7gd.medium       | 1    | arm64      | 2.0      | 59        | N/A          | N/A           | N/A          |
| t2.small          | 1    | i386       | 2.0      | None      |  0.0384      | 0.92          | 28.05        |
| t3.small          | 2    | x86_64     | 2.0      | None      |  0.0264      | 0.63          | 19.29        |
| t3a.small         | 2    | x86_64     | 2.0      | None      |  0.042       | 1.01          | 30.68        |
| t4g.small         | 2    | arm64      | 2.0      | None      | N/A          | N/A           | N/A          |
| m1.medium         | 1    | i386       | 3.7      | 410       |  0.187       | 4.49          | 136.61       |
| m3.medium         | 1    | x86_64     | 3.8      | 4         |  0.161       | 3.86          | 117.62       |
| c3.large          | 2    | i386       | 3.8      | 32        |  0.132       | 3.17          | 96.43        |
| c4.large          | 2    | x86_64     | 3.8      | None      |  0.115       | 2.76          | 84.01        |
| m6g.medium        | 1    | arm64      | 4.0      | None      | N/A          | N/A           | N/A          |
| m6gd.medium       | 1    | arm64      | 4.0      | 59        | N/A          | N/A           | N/A          |
| m7g.medium        | 1    | arm64      | 4.0      | None      | N/A          | N/A           | N/A          |
| m7gd.medium       | 1    | arm64      | 4.0      | 59        | N/A          | N/A           | N/A          |
| a1.large          | 2    | arm64      | 4.0      | None      | N/A          | N/A           | N/A          |
| c5.large          | 2    | x86_64     | 4.0      | None      |  0.098       | 2.35          | 71.59        |
| c5a.large         | 2    | x86_64     | 4.0      | None      |  0.18        | 4.32          | 131.5        |
| c5ad.large        | 2    | x86_64     | 4.0      | 75        |  0.193       | 4.63          | 141          |
| c5d.large         | 2    | x86_64     | 4.0      | 50        |  0.204       | 4.9           | 149.03       |
| c6a.large         | 2    | x86_64     | 4.0      | None      |  0.0882      | 2.12          | 64.44        |
| c6g.large         | 2    | arm64      | 4.0      | None      | N/A          | N/A           | N/A          |
| c6gd.large        | 2    | arm64      | 4.0      | 118       | N/A          | N/A           | N/A          |
| c6gn.large        | 2    | arm64      | 4.0      | None      | N/A          | N/A           | N/A          |
| c6i.large         | 2    | x86_64     | 4.0      | None      |  0.19        | 4.56          | 138.81       |
| c6id.large        | 2    | x86_64     | 4.0      | 118       |  0.2096      | 5.03          | 153.13       |
| c6in.large        | 2    | x86_64     | 4.0      | None      |  0.1302      | 3.12          | 95.12        |
| c7g.large         | 2    | arm64      | 4.0      | None      | N/A          | N/A           | N/A          |
| c7gd.large        | 2    | arm64      | 4.0      | 118       | N/A          | N/A           | N/A          |
| c7i-flex.large    | 2    | x86_64     | 4.0      | None      |  0.18518     | 4.44          | 135.29       |
| c7i.large         | 2    | x86_64     | 4.0      | None      |  0.1029      | 2.47          | 75.17        |
| t2.medium         | 2    | i386       | 4.0      | None      |  0.0764      | 1.83          | 55.81        |
| t3.medium         | 2    | x86_64     | 4.0      | None      |  0.0712      | 1.71          | 52.02        |
| t3a.medium        | 2    | x86_64     | 4.0      | None      |  0.0656      | 1.57          | 47.92        |
| t4g.medium        | 2    | arm64      | 4.0      | None      | N/A          | N/A           | N/A          |
| c5n.large         | 2    | x86_64     | 5.2      | None      |  0.216       | 5.18          | 157.8        |
| is4gen.medium     | 1    | arm64      | 6.0      | 937       | N/A          | N/A           | N/A          |
| c1.xlarge         | 8    | x86_64     | 7.0      | 1680      |  0.655       | 15.72         | 478.52       |
| m1.large          | 2    | x86_64     | 7.5      | 840       |  0.373       | 8.95          | 272.5        |
| m3.large          | 2    | x86_64     | 7.5      | 32        |  0.322       | 7.73          | 235.24       |
| c3.xlarge         | 4    | x86_64     | 7.5      | 80        |  0.477       | 11.45         | 348.48       |
| c4.xlarge         | 4    | x86_64     | 7.5      | None      |  0.415       | 9.96          | 303.18       |
| r6g.medium        | 1    | arm64      | 8.0      | None      | N/A          | N/A           | N/A          |
| r6gd.medium       | 1    | arm64      | 8.0      | 59        | N/A          | N/A           | N/A          |
| r7g.medium        | 1    | arm64      | 8.0      | None      | N/A          | N/A           | N/A          |
| r7gd.medium       | 1    | arm64      | 8.0      | 59        | N/A          | N/A           | N/A          |
| im4gn.large       | 2    | arm64      | 8.0      | 937       | N/A          | N/A           | N/A          |
| m4.large          | 2    | x86_64     | 8.0      | None      |  0.217       | 5.21          | 158.53       |
| m5.large          | 2    | x86_64     | 8.0      | None      |  0.212       | 5.09          | 154.88       |
| m5a.large         | 2    | x86_64     | 8.0      | None      |  0.2         | 4.8           | 146.11       |
| m5ad.large        | 2    | x86_64     | 8.0      | 75        |  0.221       | 5.3           | 161.45       |
| m5d.large         | 2    | x86_64     | 8.0      | 75        |  0.233       | 5.59          | 170.22       |
| m5dn.large        | 2    | x86_64     | 8.0      | 75        |  0.259       | 6.22          | 189.22       |
| m5n.large         | 2    | x86_64     | 8.0      | None      |  0.146       | 3.5           | 106.66       |
| m5zn.large        | 2    | x86_64     | 8.0      | None      |  0.2985      | 7.16          | 218.07       |
| m6a.large         | 2    | x86_64     | 8.0      | None      |  0.2         | 4.8           | 146.11       |
| m6g.large         | 2    | arm64      | 8.0      | None      | N/A          | N/A           | N/A          |
| m6gd.large        | 2    | arm64      | 8.0      | 118       | N/A          | N/A           | N/A          |
| m6i.large         | 2    | x86_64     | 8.0      | None      |  0.12        | 2.88          | 87.67        |
| m6id.large        | 2    | x86_64     | 8.0      | 118       |  0.24005     | 5.76          | 175.37       |
| m6idn.large       | 2    | x86_64     | 8.0      | 118       |  0.19539     | 4.69          | 142.74       |
| m6in.large        | 2    | x86_64     | 8.0      | None      |  0.17082     | 4.1           | 124.79       |
| m7g.large         | 2    | arm64      | 8.0      | None      | N/A          | N/A           | N/A          |
| m7gd.large        | 2    | arm64      | 8.0      | 118       | N/A          | N/A           | N/A          |
| m7i-flex.large    | 2    | x86_64     | 8.0      | None      |  0.2071      | 4.97          | 151.3        |
| m7i.large         | 2    | x86_64     | 8.0      | None      |  0.126       | 3.02          | 92.05        |
| t2.large          | 2    | x86_64     | 8.0      | None      |  0.1168      | 2.8           | 85.33        |
| t3.large          | 2    | x86_64     | 8.0      | None      |  0.1056      | 2.53          | 77.15        |
| t3a.large         | 2    | x86_64     | 8.0      | None      |  0.122       | 2.93          | 89.13        |
| t4g.large         | 2    | arm64      | 8.0      | None      | N/A          | N/A           | N/A          |
| a1.xlarge         | 4    | arm64      | 8.0      | None      | N/A          | N/A           | N/A          |
| c5.xlarge         | 4    | x86_64     | 8.0      | None      |  0.196       | 4.7           | 143.19       |
| c5a.xlarge        | 4    | x86_64     | 8.0      | None      |  0.36        | 8.64          | 263          |
| c5ad.xlarge       | 4    | x86_64     | 8.0      | 150       |  0.386       | 9.26          | 282          |
| c5d.xlarge        | 4    | x86_64     | 8.0      | 100       |  0.224       | 5.38          | 163.65       |
| c6a.xlarge        | 4    | x86_64     | 8.0      | None      |  0.3604      | 8.65          | 263.29       |
| c6g.xlarge        | 4    | arm64      | 8.0      | None      | N/A          | N/A           | N/A          |
| c6gd.xlarge       | 4    | arm64      | 8.0      | 237       | N/A          | N/A           | N/A          |
| c6gn.xlarge       | 4    | arm64      | 8.0      | None      | N/A          | N/A           | N/A          |
| c6i.xlarge        | 4    | x86_64     | 8.0      | None      |  0.196       | 4.7           | 143.19       |
| c6id.xlarge       | 4    | x86_64     | 8.0      | 237       |  0.4192      | 10.06         | 306.25       |
| c6in.xlarge       | 4    | x86_64     | 8.0      | None      |  0.4444      | 10.67         | 324.66       |
| c7g.xlarge        | 4    | arm64      | 8.0      | None      | N/A          | N/A           | N/A          |
| c7gd.xlarge       | 4    | arm64      | 8.0      | 237       | N/A          | N/A           | N/A          |
| c7i-flex.xlarge   | 4    | x86_64     | 8.0      | None      |  0.19555     | 4.69          | 142.86       |
| c7i.xlarge        | 4    | x86_64     | 8.0      | None      |  0.2058      | 4.94          | 150.35       |
| g5g.xlarge        | 4    | arm64      | 8.0      | None      | N/A          | N/A           | N/A          |
| inf1.xlarge       | 4    | x86_64     | 8.0      | None      | N/A          | N/A           | N/A          |
| c5n.xlarge        | 4    | x86_64     | 10.5     | None      |  0.432       | 10.37         | 315.6        |
| is4gen.large      | 2    | arm64      | 12.0     | 1875      | N/A          | N/A           | N/A          |
| r3.large          | 2    | x86_64     | 15.0     | 32        |  0.2         | 4.8           | 146.11       |
| m1.xlarge         | 4    | x86_64     | 15.0     | 1680      |  0.467       | 11.21         | 341.17       |
| m3.xlarge         | 4    | x86_64     | 15.0     | 80        |  0.392       | 9.41          | 286.38       |
| c3.2xlarge        | 8    | x86_64     | 15.0     | 160       |  0.529       | 12.7          | 386.47       |
| c4.2xlarge        | 8    | x86_64     | 15.0     | None      |  0.462       | 11.09         | 337.52       |
| i3.large          | 2    | x86_64     | 15.2     | 475       |  0.279       | 6.7           | 203.83       |
| r4.large          | 2    | x86_64     | 15.2     | None      |  0.16        | 3.84          | 116.89       |
| i3en.large        | 2    | x86_64     | 16.0     | 1250      |  0.363       | 8.71          | 265.19       |
| i4g.large         | 2    | arm64      | 16.0     | 468       | N/A          | N/A           | N/A          |
| i4i.large         | 2    | x86_64     | 16.0     | 468       |  0.298       | 7.15          | 217.71       |
| r5.large          | 2    | x86_64     | 16.0     | None      |  0.152       | 3.65          | 111.05       |
| r5a.large         | 2    | x86_64     | 16.0     | None      |  0.136       | 3.26          | 99.36        |
| r5ad.large        | 2    | x86_64     | 16.0     | 75        |  0.251       | 6.02          | 183.37       |
| r5b.large         | 2    | x86_64     | 16.0     | None      |  0.27        | 6.48          | 197.25       |
| r5d.large         | 2    | x86_64     | 16.0     | 75        |  0.266       | 6.38          | 194.33       |
| r5dn.large        | 2    | x86_64     | 16.0     | 75        |  0.292       | 7.01          | 213.32       |
| r5n.large         | 2    | x86_64     | 16.0     | None      |  0.27        | 6.48          | 197.25       |
| r6a.large         | 2    | x86_64     | 16.0     | None      |  0.2288      | 5.49          | 167.15       |
| r6g.large         | 2    | arm64      | 16.0     | None      | N/A          | N/A           | N/A          |
| r6gd.large        | 2    | arm64      | 16.0     | 118       | N/A          | N/A           | N/A          |
| r6i.large         | 2    | x86_64     | 16.0     | None      |  0.244       | 5.86          | 178.26       |
| r6id.large        | 2    | x86_64     | 16.0     | 118       |  0.1827      | 4.38          | 133.47       |
| r6idn.large       | 2    | x86_64     | 16.0     | 118       |  0.234       | 5.62          | 170.95       |
| r6in.large        | 2    | x86_64     | 16.0     | None      |  0.30026     | 7.21          | 219.36       |
| r7g.large         | 2    | arm64      | 16.0     | None      | N/A          | N/A           | N/A          |
| r7gd.large        | 2    | arm64      | 16.0     | 118       | N/A          | N/A           | N/A          |
| r7i.large         | 2    | x86_64     | 16.0     | None      |  0.1596      | 3.83          | 116.6        |
| z1d.large         | 2    | x86_64     | 16.0     | 75        |  0.318       | 7.63          | 232.32       |
| d3en.xlarge       | 4    | x86_64     | 16.0     | 27960     |  0.843       | 20.23         | 615.86       |
| g4dn.xlarge       | 4    | x86_64     | 16.0     | 125       |  0.736       | 17.66         | 537.69       |
| im4gn.xlarge      | 4    | arm64      | 16.0     | 1875      | N/A          | N/A           | N/A          |
| inf2.xlarge       | 4    | x86_64     | 16.0     | None      | N/A          | N/A           | N/A          |
| m4.xlarge         | 4    | x86_64     | 16.0     | None      |  0.25        | 6             | 182.64       |
| m5.xlarge         | 4    | x86_64     | 16.0     | None      |  0.424       | 10.18         | 309.76       |
| m5a.xlarge        | 4    | x86_64     | 16.0     | None      |  0.216       | 5.18          | 157.8        |
| m5ad.xlarge       | 4    | x86_64     | 16.0     | 150       |  0.442       | 10.61         | 322.91       |
| m5d.xlarge        | 4    | x86_64     | 16.0     | 150       |  0.466       | 11.18         | 340.44       |
