+---------------------+------+------------+----------+-----------+--------------+---------------+--------------+
| Instance type       | vCPU | CPU type   | RAM (GB) | Disk (GB) | Price ($/hr) | Price ($/day) | Price ($/mo) |
+---------------------+------+------------+----------+-----------+--------------+---------------+--------------+
| t2.nano             | 1    | i386       | 0.5      | None      |  0.0116      | 0.28          | 8.47         |
| t3.nano             | 2    | x86_64     | 0.5      | None      |  0.013       | 0.31          | 9.5          |
| t3a.nano            | 2    | x86_64     | 0.5      | None      |  0.0122      | 0.29          | 8.91         |
| t4g.nano            | 2    | arm64      | 0.5      | None      | N/A          | N/A           | N/A          |
| t1.micro            | 1    | i386       | 0.6      | None      |  0.027       | 0.65          | 19.73        |
| t2.micro            | 1    | i386       | 1.0      | None      |  0.0232      | 0.56          | 16.95        |
| t3.micro            | 2    | x86_64     | 1.0      | None      |  0.0168      | 0.4           | 12.27        |
| t3a.micro           | 2    | x86_64     | 1.0      | None      |  0.0243      | 0.58          | 17.75        |
| t4g.micro           | 2    | arm64      | 1.0      | None      | N/A          | N/A           | N/A          |
| m1.small            | 1    | i386       | 1.7      | 160       |  0.058       | 1.39          | 42.37        |
| c1.medium           | 2    | i386       | 1.7      | 350       |  0.259       | 6.22          | 189.22       |
| a1.medium           | 1    | arm64      | 2.0      | None      | N/A          | N/A           | N/A          |
| c6g.medium          | 1    | arm64      | 2.0      | None      | N/A          | N/A           | N/A          |
| c6gd.medium         | 1    | arm64      | 2.0      | 59        | N/A          | N/A           | N/A          |
| c6gn.medium         | 1    | arm64      | 2.0      | None      | N/A          | N/A           | N/A          |
| c7a.medium          | 1    | x86_64     | 2.0      | None      | N/A          | N/A           | N/A          |
| c7g.medium          | 1    | arm64      | 2.0      | None      | N/A          | N/A           | N/A          |
| c7gd.medium         | 1    | arm64      | 2.0      | 59        | N/A          | N/A           | N/A          |
| c7gn.medium         | 1    | arm64      | 2.0      | None      | N/A          | N/A           | N/A          |
| c8g.medium          | 1    | arm64      | 2.0      | None      | N/A          | N/A           | N/A          |
| t2.small            | 1    | i386       | 2.0      | None      |  0.0372      | 0.89          | 27.18        |
| t3.small            | 2    | x86_64     | 2.0      | None      |  0.0336      | 0.81          | 24.55        |
| t3a.small           | 2    | x86_64     | 2.0      | None      |  0.0486      | 1.17          | 35.51        |
| t4g.small           | 2    | arm64      | 2.0      | None      | N/A          | N/A           | N/A          |
| m1.medium           | 1    | i386       | 3.7      | 410       |  0.117       | 2.81          | 85.48        |
| m3.medium           | 1    | x86_64     | 3.8      | 4         |  0.158       | 3.79          | 115.43       |
| c3.large            | 2    | i386       | 3.8      | 32        |  0.246       | 5.9           | 179.72       |
| c4.large            | 2    | x86_64     | 3.8      | None      |  0.247       | 5.93          | 180.45       |
| m6g.medium          | 1    | arm64      | 4.0      | None      | N/A          | N/A           | N/A          |
